zenodo_deposition_id,country,title,doi,url,citation
16539704,Serbia,Infrastructure Climate Resilience Assessment Data Starter Kit for Serbia,10.5281/zenodo.16539704,https://zenodo.org/records/16539704,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Serbia (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539704"
16539765,São Tomé and Principe,Infrastructure Climate Resilience Assessment Data Starter Kit for São Tomé and Principe,10.5281/zenodo.16539765,https://zenodo.org/records/16539765,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for São Tomé and Principe (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539765"
16540021,Suriname,Infrastructure Climate Resilience Assessment Data Starter Kit for Suriname,10.5281/zenodo.16540021,https://zenodo.org/records/16540021,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Suriname (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540021"
16539734,Slovakia,Infrastructure Climate Resilience Assessment Data Starter Kit for Slovakia,10.5281/zenodo.16539734,https://zenodo.org/records/16539734,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Slovakia (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539734"
16539755,Slovenia,Infrastructure Climate Resilience Assessment Data Starter Kit for Slovenia,10.5281/zenodo.16539755,https://zenodo.org/records/16539755,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Slovenia (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539755"
16539745,Sweden,Infrastructure Climate Resilience Assessment Data Starter Kit for Sweden,10.5281/zenodo.16539745,https://zenodo.org/records/16539745,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Sweden (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539745"
10410863,eSwatini,Infrastructure Climate Resilience Assessment Data Starter Kit for eSwatini,10.5281/zenodo.10410863,https://zenodo.org/records/10410863,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for eSwatini (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410863"
10796658,Sint Maarten,Infrastructure Climate Resilience Assessment Data Starter Kit for Sint Maarten,10.5281/zenodo.10796658,https://zenodo.org/records/10796658,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Sint Maarten (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10796658"
10796589,Seychelles,Infrastructure Climate Resilience Assessment Data Starter Kit for Seychelles,10.5281/zenodo.10796589,https://zenodo.org/records/10796589,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Seychelles (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10796589"
16539769,Syria,Infrastructure Climate Resilience Assessment Data Starter Kit for Syria,10.5281/zenodo.16539769,https://zenodo.org/records/16539769,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Syria (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539769"
10797489,Turks and Caicos Islands,Infrastructure Climate Resilience Assessment Data Starter Kit for Turks and Caicos Islands,10.5281/zenodo.10797489,https://zenodo.org/records/10797489,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Turks and Caicos Islands (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10797489"
16540211,Chad,Infrastructure Climate Resilience Assessment Data Starter Kit for Chad,10.5281/zenodo.16540211,https://zenodo.org/records/16540211,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Chad (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540211"
16540191,Togo,Infrastructure Climate Resilience Assessment Data Starter Kit for Togo,10.5281/zenodo.16540191,https://zenodo.org/records/16540191,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Togo (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540191"
10796595,Thailand,Infrastructure Climate Resilience Assessment Data Starter Kit for Thailand,10.5281/zenodo.10796595,https://zenodo.org/records/10796595,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Thailand (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10796595"
16540088,Tajikistan,Infrastructure Climate Resilience Assessment Data Starter Kit for Tajikistan,10.5281/zenodo.16540088,https://zenodo.org/records/16540088,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Tajikistan (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540088"
